"","Reporting.country","Counterparty.country","X2018.Q2"
"1","Australia","Afghanistan",1.094
"2","Austria","Afghanistan",0.026
"3","Canada","Afghanistan",0.027
"4","Ireland","Afghanistan",0.006
"5","Italy","Afghanistan",4.092
"6","Spain","Afghanistan",0.73
"7","Sweden","Afghanistan",0.122
"8","Switzerland","Afghanistan",0.416
"9","Australia","Albania",1.027
"10","Austria","Albania",886.911
"11","France","Albania",385
"12","Greece","Albania",606
"13","Ireland","Albania",0.287
"14","Italy","Albania",687.918
"15","Japan","Albania",0.1
"16","Spain","Albania",2.599
"17","Sweden","Albania",0.074
"18","Switzerland","Albania",4.49
"19","Turkey","Albania",241.73
"20","United Kingdom","Albania",6
"21","Austria","Algeria",0.218
"22","Belgium","Algeria",24
"23","Canada","Algeria",0.604
"24","Denmark","Algeria",3
"25","France","Algeria",668
"26","Japan","Algeria",0.6
"27","Spain","Algeria",55.759
"28","Sweden","Algeria",25.586
"29","Switzerland","Algeria",85.683
"30","Turkey","Algeria",0.168
"31","United Kingdom","Algeria",140
"32","Australia","Andorra",0.002
"33","Austria","Andorra",0.752
"34","Belgium","Andorra",4
"35","Chinese Taipei","Andorra",29
"36","Denmark","Andorra",4
"37","France","Andorra",118
"38","Portugal","Andorra",11.143
"39","Spain","Andorra",1568.047
"40","Sweden","Andorra",14.568
"41","Switzerland","Andorra",735.982
"42","United Kingdom","Andorra",127
"43","Australia","Angola",0.946
"44","Austria","Angola",2.328
"45","Chinese Taipei","Angola",22
"46","Denmark","Angola",2
"47","France","Angola",1593
"48","Portugal","Angola",2580.23
"49","Spain","Angola",1663.066
"50","Sweden","Angola",74.536
"51","Switzerland","Angola",147.877
"52","United Kingdom","Angola",367
"53","Australia","Argentina",110.032
"54","Austria","Argentina",37.538
"55","Belgium","Argentina",2
"56","Brazil","Argentina",3404
"57","Chile","Argentina",96.186
"58","Chinese Taipei","Argentina",14
"59","Denmark","Argentina",16
"60","France","Argentina",1515
"61","Ireland","Argentina",0.081
"62","Italy","Argentina",117.498
"63","Japan","Argentina",591.4
"64","Panama","Argentina",1069
"65","Portugal","Argentina",22.982
"66","South Korea","Argentina",141.992
"67","Spain","Argentina",10772.111
"68","Sweden","Argentina",22.671
"69","Switzerland","Argentina",3892.641
"70","Turkey","Argentina",0.001
"71","United Kingdom","Argentina",7196
"72","United States","Argentina",10367
"73","Austria","Armenia",46.076
"74","Belgium","Armenia",39
"75","France","Armenia",157
"76","Greece","Armenia",18
"77","Ireland","Armenia",0.171
"78","Italy","Armenia",42.821
"79","Japan","Armenia",6.7
"80","Spain","Armenia",14.887
"81","Sweden","Armenia",96.152
"82","Switzerland","Armenia",134.33
"83","United Kingdom","Armenia",486
"84","Australia","Aruba",0.466
"85","Austria","Aruba",1.986
"86","Belgium","Aruba",1
"87","Spain","Aruba",0.711
"88","Switzerland","Aruba",312.243
"89","United Kingdom","Aruba",56
"90","Australia","Australia",62082
"91","Austria","Australia",884.605
"92","Belgium","Australia",1486
"93","Brazil","Australia",48
"94","Canada","Australia",18986.369
"95","Chile","Australia",6.65
"96","Chinese Taipei","Australia",14960
"97","Denmark","Australia",203
"98","France","Australia",22112
"99","Greece","Australia",83
"100","India","Australia",790.421
"101","Ireland","Australia",752.32
"102","Italy","Australia",2016.711
"103","Japan","Australia",102792.504
"104","Netherlands","Australia",5427.965
"105","Panama","Australia",41
"106","Portugal","Australia",137.062
"107","South Korea","Australia",6247.806
"108","Spain","Australia",2749.426
"109","Switzerland","Australia",19166.289
"110","Turkey","Australia",8.064
"111","United Kingdom","Australia",35884
"112","United States","Australia",40061
"113","Australia","Austria",597.824
"114","Austria","Austria",27166.043
"115","Belgium","Austria",1237
"116","Brazil","Austria",748
"117","Canada","Austria",2390.223
"118","Chile","Austria",62.602
"119","Chinese Taipei","Austria",557
"120","Denmark","Austria",2042
"121","Finland","Austria",627
"122","France","Austria",15931
"123","Germany","Austria",59429
"124","Greece","Austria",564
"125","Ireland","Austria",195.889
"126","Italy","Austria",16103.063
"127","Japan","Austria",5926.8
"128","Netherlands","Austria",9224.975
"129","Panama","Austria",1
"130","Portugal","Austria",432.833
"131","South Korea","Austria",160.422
"132","Spain","Austria",3386.499
"133","Switzerland","Austria",12019.771
"134","Turkey","Austria",262.298
"135","United Kingdom","Austria",11623
"136","United States","Austria",14823
"137","Australia","Azerbaijan",0.756
"138","Austria","Azerbaijan",307.746
"139","Belgium","Azerbaijan",106
"140","Denmark","Azerbaijan",2
"141","France","Azerbaijan",1522
"142","Japan","Azerbaijan",225.8
"143","Spain","Azerbaijan",4.52
"144","Sweden","Azerbaijan",0.501
"145","Switzerland","Azerbaijan",180.886
"146","Turkey","Azerbaijan",109.852
"147","United Kingdom","Azerbaijan",336
"148","Australia","Bahamas",1399.29
"149","Austria","Bahamas",18.758
"150","Belgium","Bahamas",22
"151","Brazil","Bahamas",11765
"152","Canada","Bahamas",4318.62
"153","Chinese Taipei","Bahamas",34
"154","Denmark","Bahamas",77
"155","France","Bahamas",2345
"156","India","Bahamas",456.647
"157","Ireland","Bahamas",11.079
"158","Japan","Bahamas",1730.946
"159","Panama","Bahamas",174
"160","Spain","Bahamas",1080.887
"161","Sweden","Bahamas",8.084
"162","Switzerland","Bahamas",23363.552
"163","United Kingdom","Bahamas",6749
"164","United States","Bahamas",23200
"165","Australia","Bahrain",37.766
"166","Austria","Bahrain",105.137
"167","Belgium","Bahrain",71
"168","Chinese Taipei","Bahrain",118
"169","Denmark","Bahrain",3
"170","France","Bahrain",5707
"171","Greece","Bahrain",0
"172","India","Bahrain",4444.569
"173","Ireland","Bahrain",2.303
"174","Italy","Bahrain",1551.877
"175","Japan","Bahrain",911.282
"176","South Korea","Bahrain",399.218
"177","Spain","Bahrain",99.533
"178","Sweden","Bahrain",10.199
"179","Switzerland","Bahrain",2189.063
"180","Turkey","Bahrain",76.595
"181","United Kingdom","Bahrain",6166
"182","United States","Bahrain",3906
"183","Australia","Bangladesh",5.898
"184","Austria","Bangladesh",31.835
"185","Belgium","Bangladesh",72
"186","Canada","Bangladesh",14.34
"187","Chinese Taipei","Bangladesh",90
"188","Denmark","Bangladesh",13
"189","France","Bangladesh",399
"190","India","Bangladesh",1575.868
"191","Italy","Bangladesh",137.855
"192","Spain","Bangladesh",160.891
"193","Sweden","Bangladesh",253.103
"194","Switzerland","Bangladesh",464.725
"195","United Kingdom","Bangladesh",12627
"196","Australia","Barbados",213.961
"197","Austria","Barbados",2.995
"198","Belgium","Barbados",1
"199","Canada","Barbados",2458.735
"200","France","Barbados",490
"201","Ireland","Barbados",0.332
"202","Spain","Barbados",435.105
"203","Sweden","Barbados",1.952
"204","Switzerland","Barbados",635.201
"205","United Kingdom","Barbados",44
"206","Australia","Belarus",0.002
"207","Austria","Belarus",1339.334
"208","Belgium","Belarus",117
"209","Denmark","Belarus",1
"210","France","Belarus",66
"211","Greece","Belarus",4
"212","Japan","Belarus",3.5
"213","Spain","Belarus",28.61
"214","Sweden","Belarus",5.736
"215","Switzerland","Belarus",158.331
"216","Turkey","Belarus",10.373
"217","United Kingdom","Belarus",1
"218","Australia","Belgium",4399.373
"219","Austria","Belgium",2413.647
"220","Belgium","Belgium",8185
"221","Brazil","Belgium",151
"222","Canada","Belgium",4294.92
"223","Chile","Belgium",5.994
"224","Chinese Taipei","Belgium",238
"225","Denmark","Belgium",2981
"226","Finland","Belgium",1013
"227","France","Belgium",102511
"228","Greece","Belgium",805
"229","India","Belgium",1977.349
"230","Ireland","Belgium",1015.208
"231","Italy","Belgium",7395.748
"232","Japan","Belgium",24226.58
"233","Mexico","Belgium",5.267
"234","Panama","Belgium",39
"235","Portugal","Belgium",407.333
"236","South Korea","Belgium",1369.961
"237","Spain","Belgium",5841.45
"238","Sweden","Belgium",5057.166
"239","Switzerland","Belgium",7735.814
"240","Turkey","Belgium",376.043
"241","United Kingdom","Belgium",16540
"242","United States","Belgium",33639
"243","Australia","Belize",2.226
"244","Austria","Belize",0.788
"245","Chinese Taipei","Belize",600
"246","Denmark","Belize",14
"247","France","Belize",92
"248","Italy","Belize",7.765
"249","Spain","Belize",31.906
"250","Switzerland","Belize",1895.933
"251","Turkey","Belize",0.002
"252","United Kingdom","Belize",27
"253","Australia","Benin",0.257
"254","Belgium","Benin",20
"255","France","Benin",212
"256","Sweden","Benin",3.325
"257","Switzerland","Benin",6.428
"258","Australia","Bermuda",1120.458
"259","Austria","Bermuda",74.419
"260","Belgium","Bermuda",5
"261","Brazil","Bermuda",373
"262","Canada","Bermuda",2496.378
"263","Chinese Taipei","Bermuda",3474
"264","Denmark","Bermuda",1716
"265","France","Bermuda",6166
"266","Greece","Bermuda",329
"267","Ireland","Bermuda",5.717
"268","Italy","Bermuda",1237.911
"269","Japan","Bermuda",31062.72
"270","Panama","Bermuda",3
"271","South Korea","Bermuda",1223.429
"272","Spain","Bermuda",450.275
"273","Sweden","Bermuda",5859.941
"274","Switzerland","Bermuda",7460.485
"275","United Kingdom","Bermuda",7374
"276","United States","Bermuda",33990
"277","Australia","Bhutan",0.002
"278","Austria","Bhutan",31.532
"279","France","Bhutan",5
"280","Sweden","Bhutan",0.512
"281","Switzerland","Bhutan",1.929
"282","United Kingdom","Bhutan",10
"283","Australia","Bolivia",0.018
"284","Austria","Bolivia",0.008
"285","France","Bolivia",152
"286","Japan","Bolivia",106.4
"287","Spain","Bolivia",138.172
"288","Sweden","Bolivia",36.815
"289","Switzerland","Bolivia",148.994
"290","United Kingdom","Bolivia",29
"291","Sweden","Bonaire, Sint Eustatius and Saba",0.004
"292","Switzerland","Bonaire, Sint Eustatius and Saba",300.923
"293","United Kingdom","Bonaire, Sint Eustatius and Saba",2
"294","Australia","Bosnia and Herzegovina",0.698
"295","Austria","Bosnia and Herzegovina",722.369
"296","Belgium","Bosnia and Herzegovina",2
"297","France","Bosnia and Herzegovina",25
"298","Italy","Bosnia and Herzegovina",1377.184
"299","Spain","Bosnia and Herzegovina",0.5
"300","Sweden","Bosnia and Herzegovina",0.494
"301","Switzerland","Bosnia and Herzegovina",15.103
"302","Turkey","Bosnia and Herzegovina",237.839
"303","United Kingdom","Bosnia and Herzegovina",2
"304","Australia","Botswana",2.19
"305","Austria","Botswana",0.355
"306","Canada","Botswana",2.012
"307","Denmark","Botswana",8
"308","France","Botswana",95
"309","Ireland","Botswana",0.488
"310","Sweden","Botswana",12.907
"311","Switzerland","Botswana",17.475
"312","United Kingdom","Botswana",143
"313","Australia","Brazil",649.564
"314","Austria","Brazil",415.61
"315","Belgium","Brazil",224
"316","Canada","Brazil",2331.042
"317","Chile","Brazil",1887.951
"318","Chinese Taipei","Brazil",43
"319","Denmark","Brazil",57
"320","France","Brazil",25293
"321","India","Brazil",391.578
"322","Ireland","Brazil",40.596
"323","Italy","Brazil",1675.026
"324","Japan","Brazil",25623.377
"325","Panama","Brazil",851
"326","Portugal","Brazil",1129.367
"327","South Korea","Brazil",3373.421
"328","Spain","Brazil",15977.224
"329","Sweden","Brazil",2718.628
"330","Switzerland","Brazil",5019.425
"331","Turkey","Brazil",0.135
"332","United Kingdom","Brazil",14181
"333","United States","Brazil",55490
"334","Australia","British Overseas Territories",0.003
"335","Chinese Taipei","British Overseas Territories",14
"336","France","British Overseas Territories",1124
"337","Sweden","British Overseas Territories",0.116
"338","Switzerland","British Overseas Territories",99.7
"339","Australia","Brunei",117.271
"340","Austria","Brunei",0.226
"341","Chinese Taipei","Brunei",15
"342","France","Brunei",87
"343","Sweden","Brunei",0.606
"344","Switzerland","Brunei",173.509
"345","United Kingdom","Brunei",226
"346","Australia","Bulgaria",24.446
"347","Austria","Bulgaria",3121.007
"348","Belgium","Bulgaria",4030
"349","Canada","Bulgaria",0.306
"350","Denmark","Bulgaria",20
"351","France","Bulgaria",3525
"352","Greece","Bulgaria",3647
"353","Ireland","Bulgaria",0.547
"354","Japan","Bulgaria",106.1
"355","South Korea","Bulgaria",9.126
"356","Spain","Bulgaria",88.824
"357","Sweden","Bulgaria",13.531
"358","Switzerland","Bulgaria",201.599
"359","Turkey","Bulgaria",28.074
"360","United Kingdom","Bulgaria",20
"361","Belgium","Burkina Faso",1
"362","Chinese Taipei","Burkina Faso",19
"363","France","Burkina Faso",433
"364","Spain","Burkina Faso",0.048
"365","Sweden","Burkina Faso",42.115
"366","Switzerland","Burkina Faso",7.936
"367","United Kingdom","Burkina Faso",12
"368","Chinese Taipei","Burundi",20
"369","France","Burundi",2
"370","Ireland","Burundi",0.266
"371","Sweden","Burundi",0.002
"372","Switzerland","Burundi",6.704
"373","Turkey","Burundi",0.003
"374","United Kingdom","Burundi",14
"375","Australia","Cambodia",687.169
"376","Austria","Cambodia",20.581
"377","Belgium","Cambodia",2
"378","Chinese Taipei","Cambodia",2783
"379","Denmark","Cambodia",1
"380","France","Cambodia",278
"381","Spain","Cambodia",3.179
"382","Sweden","Cambodia",0.431
"383","Switzerland","Cambodia",7.477
"384","United Kingdom","Cambodia",85
"385","Austria","Cameroon",7.021
"386","Belgium","Cameroon",162
"387","France","Cameroon",1189
"388","Spain","Cameroon",34.431
"389","Sweden","Cameroon",3.746
"390","Switzerland","Cameroon",27.396
"391","Turkey","Cameroon",61.758
"392","United Kingdom","Cameroon",513
"393","Australia","Canada",12085.985
"394","Austria","Canada",1587.817
"395","Belgium","Canada",3682
"396","Brazil","Canada",1800
"397","Canada","Canada",154547.909
"398","Chile","Canada",82.557
"399","Chinese Taipei","Canada",4284
"400","Denmark","Canada",1116
"401","Finland","Canada",2931
"402","France","Canada",38650
"403","Greece","Canada",168
"404","India","Canada",1104.472
"405","Ireland","Canada",1872.913
"406","Italy","Canada",2972.82
"407","Japan","Canada",64233.064
"408","Mexico","Canada",90.038
"409","Panama","Canada",377
"410","Portugal","Canada",172.801
"411","South Korea","Canada",1735.548
"412","Spain","Canada",5745.008
"413","Sweden","Canada",4786.433
"414","Switzerland","Canada",24847.104
"415","Turkey","Canada",8.58
"416","United Kingdom","Canada",61104
"417","United States","Canada",122200
"418","Australia","Cape Verde",0.004
"419","Austria","Cape Verde",0.006
"420","France","Cape Verde",50
"421","Italy","Cape Verde",13.726
"422","Portugal","Cape Verde",741.058
"423","Spain","Cape Verde",152.446
"424","Switzerland","Cape Verde",7.561
"425","United Kingdom","Cape Verde",1
"426","Australia","Cayman Islands",27897.56
"427","Austria","Cayman Islands",1550.391
"428","Belgium","Cayman Islands",1106
"429","Brazil","Cayman Islands",15243
"430","Canada","Cayman Islands",51820.081
"431","Chile","Cayman Islands",16.508
"432","Chinese Taipei","Cayman Islands",20799
"433","Denmark","Cayman Islands",2950
"434","France","Cayman Islands",82344
"435","Germany","Cayman Islands",105772
"436","Greece","Cayman Islands",320
"437","India","Cayman Islands",797.625
"438","Ireland","Cayman Islands",21.39
"439","Italy","Cayman Islands",4007.031
"440","Japan","Cayman Islands",727476.006
"441","Mexico","Cayman Islands",22.21
"442","Panama","Cayman Islands",2863
"443","South Korea","Cayman Islands",2856.829
"444","Spain","Cayman Islands",2585.468
"445","Sweden","Cayman Islands",7163.019
"446","Switzerland","Cayman Islands",115817.889
"447","Turkey","Cayman Islands",180.423
"448","United Kingdom","Cayman Islands",68453
"449","United States","Cayman Islands",687420
"450","France","Central African Republic",25
"451","Spain","Central African Republic",7.119
"452","Switzerland","Central African Republic",0.56
"453","Austria","Chad",0.026
"454","France","Chad",262
"455","Spain","Chad",0.274
"456","Switzerland","Chad",1.182
"457","Australia","Chile",220.134
"458","Austria","Chile",67.039
"459","Belgium","Chile",69
"460","Brazil","Chile",10100
"461","Chile","Chile",20571.021
"462","Chinese Taipei","Chile",467
"463","Denmark","Chile",8
"464","France","Chile",2994
"465","Italy","Chile",275.98
"466","Japan","Chile",10735.538
"467","Panama","Chile",511
"468","South Korea","Chile",510.346
"469","Spain","Chile",13347.429
"470","Sweden","Chile",346.95
"471","Switzerland","Chile",2308.494
"472","United Kingdom","Chile",3894
"473","United States","Chile",14482
"474","Australia","China",38334.919
"475","Austria","China",1570.798
"476","Belgium","China",1527
"477","Brazil","China",181
"478","Canada","China",18727.887
"479","Chile","China",284.515
"480","Chinese Taipei","China",37632
"481","Denmark","China",1861
"482","France","China",67946
"483","Greece","China",2
"484","India","China",1924.627
"485","Ireland","China",3.013
"486","Italy","China",2930.839
"487","Japan","China",51265.88
"488","Panama","China",99
"489","Portugal","China",194.713
"490","South Korea","China",26506.304
"491","Spain","China",6983.858
"492","Sweden","China",6996.807
"493","Switzerland","China",45546.412
"494","Turkey","China",17.677
"495","United Kingdom","China",159072
"496","United States","China",101845
"497","Australia","Chinese Taipei",6173.747
"498","Austria","Chinese Taipei",47.993
"499","Belgium","Chinese Taipei",40
"500","Chinese Taipei","Chinese Taipei",12062
"501","Denmark","Chinese Taipei",32
"502","France","Chinese Taipei",31934
"503","Ireland","Chinese Taipei",0.267
"504","Italy","Chinese Taipei",76.414
"505","Japan","Chinese Taipei",23666.849
"506","South Korea","Chinese Taipei",2600.251
"507","Spain","Chinese Taipei",1164.161
"508","Sweden","Chinese Taipei",508.208
"509","Switzerland","Chinese Taipei",15942.45
"510","Turkey","Chinese Taipei",0.215
"511","United Kingdom","Chinese Taipei",37227
"512","United States","Chinese Taipei",57647
"513","Australia","Colombia",56.773
"514","Austria","Colombia",2.606
"515","Belgium","Colombia",27
"516","Canada","Colombia",1475.797
"517","Chinese Taipei","Colombia",8
"518","Denmark","Colombia",6
"519","France","Colombia",4181
"520","Ireland","Colombia",0.183
"521","Italy","Colombia",154.262
"522","Japan","Colombia",3675.912
"523","Mexico","Colombia",54.967
"524","Spain","Colombia",4207.859
"525","Switzerland","Colombia",512.955
"526","United Kingdom","Colombia",2038
"527","France","Comoros",4
"528","Switzerland","Comoros",0.002
"529","Austria","Congo",1.43
"530","Belgium","Congo",32
"531","France","Congo",276
"532","Italy","Congo",66.039
"533","Spain","Congo",1.551
"534","Sweden","Congo",15.622
"535","Switzerland","Congo",62.786
"536","Turkey","Congo",81.285
"537","United Kingdom","Congo",6
"538","Australia","Congo Democratic Republic",0.021
"539","Austria","Congo Democratic Republic",0.01
"540","Belgium","Congo Democratic Republic",15
"541","France","Congo Democratic Republic",127
"542","Italy","Congo Democratic Republic",3.315
"543","Spain","Congo Democratic Republic",2.196
"544","Sweden","Congo Democratic Republic",0.007
"545","Switzerland","Congo Democratic Republic",98.925
"546","United Kingdom","Congo Democratic Republic",6
"547","Australia","Costa Rica",0.002
"548","Austria","Costa Rica",13.184
"549","Belgium","Costa Rica",6
"550","Chinese Taipei","Costa Rica",13
"551","Denmark","Costa Rica",21
"552","France","Costa Rica",164
"553","Italy","Costa Rica",12.145
"554","Japan","Costa Rica",131.812
"555","Mexico","Costa Rica",46.24
"556","Spain","Costa Rica",59.516
"557","Sweden","Costa Rica",1.022
"558","Switzerland","Costa Rica",420.792
"559","United Kingdom","Costa Rica",119
"560","Australia","Cote d'Ivoire",63.671
"561","Austria","Cote d'Ivoire",0.705
"562","Belgium","Cote d'Ivoire",3
"563","Denmark","Cote d'Ivoire",6
"564","France","Cote d'Ivoire",1811
"565","Italy","Cote d'Ivoire",14.154
"566","Japan","Cote d'Ivoire",50.5
"567","Spain","Cote d'Ivoire",3.425
"568","Sweden","Cote d'Ivoire",87.161
"569","Switzerland","Cote d'Ivoire",-11.142
"570","Turkey","Cote d'Ivoire",11.642
"571","United Kingdom","Cote d'Ivoire",295
"572","Australia","Croatia",4.133
"573","Austria","Croatia",13475.963
"574","Belgium","Croatia",52
"575","Chinese Taipei","Croatia",1
"576","Denmark","Croatia",23
"577","France","Croatia",861
"578","Greece","Croatia",35
"579","Ireland","Croatia",0.424
"580","Italy","Croatia",14876.333
"581","Japan","Croatia",280.3
"582","Spain","Croatia",46.142
"583","Sweden","Croatia",9.953
"584","Switzerland","Croatia",152.012
"585","Turkey","Croatia",31.23
"586","United Kingdom","Croatia",206
"587","Australia","Cuba",0.006
"588","Austria","Cuba",34.684
"589","France","Cuba",446
"590","Italy","Cuba",307.29
"591","Japan","Cuba",34.6
"592","Spain","Cuba",626.641
"593","Sweden","Cuba",12.47
"594","Switzerland","Cuba",197.994
"595","Austria","Curacao",16.541
"596","Belgium","Curacao",3
"597","Canada","Curacao",295.163
"598","Denmark","Curacao",6
"599","France","Curacao",291
"600","India","Curacao",0.881
"601","Italy","Curacao",4.388
"602","Spain","Curacao",192.719
"603","Sweden","Curacao",5.802
"604","Switzerland","Curacao",1214.475
"605","United Kingdom","Curacao",340
"606","Australia","Cyprus",29.453
"607","Austria","Cyprus",1177.735
"608","Belgium","Cyprus",192
"609","Chinese Taipei","Cyprus",35
"610","Denmark","Cyprus",675
"611","France","Cyprus",3797
"612","Greece","Cyprus",3949
"613","India","Cyprus",76.109
"614","Ireland","Cyprus",66.36
"615","South Korea","Cyprus",210.08
"616","Spain","Cyprus",166.445
"617","Sweden","Cyprus",1365.347
"618","Switzerland","Cyprus",7778.654
"619","United Kingdom","Cyprus",1262
"620","United States","Cyprus",4015
"621","Australia","Czech Republic",210.432
"622","Austria","Czech Republic",18921.189
"623","Belgium","Czech Republic",10263
"624","Chinese Taipei","Czech Republic",8
"625","Denmark","Czech Republic",131
"626","France","Czech Republic",7150
"627","Greece","Czech Republic",2
"628","Ireland","Czech Republic",34.565
"629","Italy","Czech Republic",9214.994
"630","Japan","Czech Republic",1041.016
"631","South Korea","Czech Republic",1174.802
"632","Spain","Czech Republic",334.884
"633","Sweden","Czech Republic",22.894
"634","Switzerland","Czech Republic",1067.533
"635","Turkey","Czech Republic",0.212
"636","United Kingdom","Czech Republic",1977
"637","United States","Czech Republic",3595
"638","Australia","Denmark",299.825
"639","Austria","Denmark",1149.084
"640","Belgium","Denmark",376
"641","Brazil","Denmark",9
"642","Canada","Denmark",1803
"643","Chile","Denmark",0.313
"644","Chinese Taipei","Denmark",134
"645","Denmark","Denmark",46125
"646","Finland","Denmark",851
"647","France","Denmark",15608
"648","Greece","Denmark",42
"649","Ireland","Denmark",480.792
"650","Italy","Denmark",4184.633
"651","Japan","Denmark",16670.673
"652","Panama","Denmark",15
"653","Portugal","Denmark",199.982
"654","South Korea","Denmark",92.529
"655","Spain","Denmark",2133.252
"656","Sweden","Denmark",88047.385
"657","Switzerland","Denmark",9385.383
"658","Turkey","Denmark",10.942
"659","United Kingdom","Denmark",13003
"660","United States","Denmark",16908
"661","Australia","Djibouti",0.001
"662","Denmark","Djibouti",1
"663","France","Djibouti",16
"664","Switzerland","Djibouti",0.436
"665","Turkey","Djibouti",10.123
"666","Australia","Dominica",0.002
"667","Canada","Dominica",6.875
"668","France","Dominica",39
"669","Switzerland","Dominica",92.486
"670","Turkey","Dominica",0.055
"671","Australia","Dominican Republic",0.029
"672","Austria","Dominican Republic",2.025
"673","Belgium","Dominican Republic",1
"674","Chinese Taipei","Dominican Republic",4
"675","Denmark","Dominican Republic",7
"676","France","Dominican Republic",871
"677","Ireland","Dominican Republic",0.115
"678","Spain","Dominican Republic",689.745
"679","Sweden","Dominican Republic",0.095
"680","Switzerland","Dominican Republic",169.203
"681","Turkey","Dominican Republic",0.05
"682","United Kingdom","Dominican Republic",38
"683","Australia","Ecuador",0.486
"684","Austria","Ecuador",0.418
"685","Belgium","Ecuador",33
"686","Chinese Taipei","Ecuador",3
"687","Denmark","Ecuador",6
"688","France","Ecuador",1293
"689","Italy","Ecuador",642.033
"690","Japan","Ecuador",224.5
"691","Spain","Ecuador",974.975
"692","Sweden","Ecuador",14.775
"693","Switzerland","Ecuador",560.602
"694","Turkey","Ecuador",0.001
"695","United Kingdom","Ecuador",75
"696","Australia","Egypt",4.961
"697","Austria","Egypt",41.454
"698","Belgium","Egypt",82
"699","Canada","Egypt",18.029
"700","Chinese Taipei","Egypt",98
"701","Denmark","Egypt",23
"702","France","Egypt",5927
"703","Greece","Egypt",147
"704","India","Egypt",487.927
"705","Ireland","Egypt",0.139
"706","Italy","Egypt",2694.429
"707","Japan","Egypt",798.5
"708","Spain","Egypt",768.12
"709","Sweden","Egypt",179.623
"710","Switzerland","Egypt",3775.174
"711","Turkey","Egypt",28.458
"712","United Kingdom","Egypt",6918
"713","Australia","El Salvador",0.96
"714","Austria","El Salvador",0.24
"715","France","El Salvador",79
"716","Spain","El Salvador",85.43
"717","Sweden","El Salvador",25.254
"718","Switzerland","El Salvador",367.829
"719","United Kingdom","El Salvador",61
"720","Australia","Equatorial Guinea",0.004
"721","France","Equatorial Guinea",81
"722","Spain","Equatorial Guinea",18.203
"723","Switzerland","Equatorial Guinea",200.199
"724","Austria","Eritrea",0.1
"725","Switzerland","Eritrea",0.606
"726","Turkey","Eritrea",0.016
"727","Australia","Estonia",0.71
"728","Austria","Estonia",28.876
"729","Belgium","Estonia",4
"730","Chinese Taipei","Estonia",2
"731","Denmark","Estonia",103
"732","Finland","Estonia",77
"733","France","Estonia",265
"734","Ireland","Estonia",0.006
"735","Italy","Estonia",165.258
"736","Japan","Estonia",4.3
"737","South Korea","Estonia",9.864
"738","Spain","Estonia",26.708
"739","Sweden","Estonia",1339.468
"740","Switzerland","Estonia",65.329
"741","United Kingdom","Estonia",10
"742","Australia","Eswatini",82.813
"743","Denmark","Eswatini",1
"744","Ireland","Eswatini",0.187
"745","Spain","Eswatini",0.847
"746","Sweden","Eswatini",0.779
"747","Switzerland","Eswatini",28.039
"748","United Kingdom","Eswatini",4
"749","Australia","Ethiopia",80.902
"750","Austria","Ethiopia",0.003
"751","Belgium","Ethiopia",1
"752","France","Ethiopia",1000
"753","Japan","Ethiopia",5.2
"754","Spain","Ethiopia",19.104
"755","Sweden","Ethiopia",422.25
"756","Switzerland","Ethiopia",320.383
"757","Turkey","Ethiopia",289.003
"758","United Kingdom","Ethiopia",113
"759","Australia","Euro area",67998.727
"760","Austria","Euro area",121281.513
"761","Belgium","Euro area",76402
"762","Brazil","Euro area",9962
"763","Canada","Euro area",158904.619
"764","Chile","Euro area",905.144
"765","Chinese Taipei","Euro area",24058
"766","Denmark","Euro area",74115
"767","Finland","Euro area",13218
"768","France","Euro area",978563
"769","Germany","Euro area",989334
"770","Greece","Euro area",31614
"771","Ireland","Euro area",18750.238
"772","Italy","Euro area",395788.95
"773","Japan","Euro area",706911.161
"774","Mexico","Euro area",624.61
"775","Netherlands","Euro area",259667.959
"776","Panama","Euro area",907
"777","Portugal","Euro area",37339.461
"778","South Korea","Euro area",20936.857
"779","Spain","Euro area",332961.65
"780","Sweden","Euro area",128821.851
"781","Switzerland","Euro area",338067.089
"782","Turkey","Euro area",9233.255
"783","United Kingdom","Euro area",662609
"784","United States","Euro area",1092802
"785","Denmark","Faeroe Islands",684
"786","France","Faeroe Islands",3
"787","Sweden","Faeroe Islands",231.282
"788","Switzerland","Faeroe Islands",4.439
"789","United Kingdom","Faeroe Islands",0
"790","Australia","Falkland Islands",0.002
"791","Ireland","Falkland Islands",0.248
"792","Spain","Falkland Islands",34.098
"793","Switzerland","Falkland Islands",0.048
"794","Australia","Fiji",105.917
"795","Canada","Fiji",0.697
"796","Chinese Taipei","Fiji",3
"797","France","Fiji",2
"798","Japan","Fiji",10.8
"799","Sweden","Fiji",0.032
"800","Switzerland","Fiji",0.208
"801","United Kingdom","Fiji",15
"802","Australia","Finland",454.441
"803","Austria","Finland",1857.616
"804","Belgium","Finland",677
"805","Brazil","Finland",1
"806","Canada","Finland",3785.299
"807","Chile","Finland",0.264
"808","Chinese Taipei","Finland",187
"809","Denmark","Finland",4144
"810","Finland","Finland",844
"811","France","Finland",10170
"812","Greece","Finland",100
"813","Ireland","Finland",494.761
"814","Italy","Finland",1960.615
"815","Japan","Finland",5956.743
"816","South Korea","Finland",57.96
"817","Spain","Finland",930.641
"818","Sweden","Finland",33334.688
"819","Switzerland","Finland",6549.949
"820","Turkey","Finland",2.962
"821","United Kingdom","Finland",10621
